siren,denominationUniteLegale,activitePrincipaleUniteLegale,categorieEntreprise,libelle_naf
428766976,SOLVAY ENERGY SERVICES,35.23Z,ETI,Commerce de combustibles gazeux par conduites
428785042,AMAZON FRANCE LOGISTIQUE SAS,52.10B,GE,Entreposage et stockage non frigorifique
428891113,TOTALENERGIES PETROCHEMICALS FRANCE,20.14Z,GE,Fabrication d'autres produits chimiques organiques de base
429660863,CAUFFRIDIS EXPANSION,64.20Z,PME,Activités des sociétés holding
429707292,TERRENA,46.90Z,GE,Commerce de gros (commerce interentreprises) non spécialisé
442904629,BPM GROUP,70.10Z,ETI,Activités des sièges sociaux
442969705,AVANTIS ENGINEERING,71.12B,PME,"Ingénierie, études techniques"
443061841,GOOGLE FRANCE,62.02A,ETI,Conseil en systèmes et logiciels informatiques
443089990,NISSAN AUTOMOTIVE EUROPE,45.11Z,GE,Commerce de voitures et de véhicules automobiles légers
443716832,SYNGENTA FRANCE SA,72.11Z,ETI,Recherche-développement en biotechnologie
452847130,BONNEUIL EXPANSION,64.20Z,ETI,Activités des sociétés holding
453427940,LE GRAND REY,66.19A,ETI,Supports juridiques de gestion de patrimoine mobilier
453952681,NATIXIS INVESTMENT MANAGERS,70.10Z,GE,Activités des sièges sociaux
456500537,DALKIA,35.30Z,GE,Production et distribution de vapeur et d'air conditionné
456504851,CREDIT DU NORD,64.19Z,GE,Autres intermédiations monétaires
457503837,TOTALENERGIES PROXI NORD EST,46.71Z,GE,Commerce de gros (commerce interentreprises) de combustibles et de produits annexes
487080194,BENETEAU,70.10Z,ETI,Activités des sièges sociaux
487760761,GHELLA S.P.A.,42.13A,PME,Construction d'ouvrages d'art
488077165,PARTS HOLDING EUROPE,64.30Z,GE,Fonds de placement et entités financières similaires
502941479,GAZ DE BORDEAUX,35.23Z,ETI,Commerce de combustibles gazeux par conduites
503126161,FIDEIP,70.22Z,,Conseil pour les affaires et autres conseils de gestion
514080837,ITM LOGISTIQUE ALIMENTAIRE INTERNATIONAL,49.41B,GE,Transports routiers de fret de proximité
529220121,PROMOTHERMIS,64.20Z,ETI,Activités des sociétés holding
529221749,TOTALENERGIES RAFFINAGE FRANCE,19.20Z,GE,Raffinage du pétrole
529222879,ALTRAD INVESTMENT AUTHORITY,70.10Z,GE,Activités des sièges sociaux
529313652,COENTREPRISE DE TRANSPORT D'ELECTRICITE,64.20Z,GE,Activités des sociétés holding
601251614,BOLLORE ENERGY,46.71Z,GE,Commerce de gros (commerce interentreprises) de combustibles et de produits annexes
602025538,VOLKSWAGEN GROUP AUTOMOTIVE RETAIL FRANCE,45.11Z,GE,Commerce de voitures et de véhicules automobiles légers
602036444,ACCOR,70.10Z,GE,Activités des sièges sociaux
602060147,HACHETTE LIVRE,58.11Z,GE,Édition de livres
609849153,LILLY FRANCE,21.20Z,ETI,Fabrication de préparations pharmaceutiques
612035832,CHRISTIAN DIOR COUTURE,46.42Z,GE,Commerce de gros (commerce interentreprises) d'habillement et de chaussures
612039495,THALES AVS FRANCE SAS,26.51A,GE,Fabrication d'équipements d'aide à la navigation
622037083,RHODIA OPERATIONS,20.14Z,ETI,Fabrication d'autres produits chimiques organiques de base
622042422,YARA FRANCE,20.15Z,ETI,Fabrication de produits azotés et d'engrais
622044287,MERCEDES-BENZ FRANCE,45.11Z,GE,Commerce de voitures et de véhicules automobiles légers
622045383,GROUPE CRIT,64.30Z,GE,Fonds de placement et entités financières similaires
632012100,L'OREAL,77.40Z,GE,"Location-bail de propriété intellectuelle et de produits similaires, à l'exception des œuvres soumises à copyright"
632041042,COMPASS GROUP FRANCE,56.29A,GE,Restauration collective sous contrat
632045381,ERAMET,46.72Z,GE,Commerce de gros (commerce interentreprises) de minerais et métaux
632050019,SANEF,52.21Z,GE,Services auxiliaires des transports terrestres
637020819,SOC CENTRALE APPROVISIONNEMENT ARMORIQUE,46.17A,ETI,Centrales d'achat alimentaires
642007991,SOC COOPER GROUPEM ACHAT CENTRE LECLERC,46.17A,GE,Centrales d'achat alimentaires
642050199,AUTOMOBILES CITROEN,45.11Z,GE,Commerce de voitures et de véhicules automobiles légers
642880785,ETABLISSEMENTS J. SOUFFLET,70.10Z,GE,Activités des sièges sociaux
652014051,CARREFOUR,64.20Z,GE,Activités des sociétés holding
652031857,HEWLETT-PACKARD FRANCE,46.51Z,ETI,"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels"
780094983,WOREX,46.71Z,GE,Commerce de gros (commerce interentreprises) de combustibles et de produits annexes
780129987,RENAULT SAS,29.10Z,GE,Construction de véhicules automobiles
780130175,SHELL FRANCE,46.71Z,GE,Commerce de gros (commerce interentreprises) de combustibles et de produits annexes
780152914,KLEPIERRE,68.20B,ETI,Location de terrains et d'autres biens immobiliers
780660437,COBEVIAL,46.23Z,ETI,Commerce de gros (commerce interentreprises) d'animaux vivants
791978133,DOMINGOS DA SILVA TEIXEIRA SA,41.20B,PME,Construction d'autres bâtiments
792870743,TEREOS COMMODITIES FRANCE,46.71Z,GE,Commerce de gros (commerce interentreprises) de combustibles et de produits annexes
803070333,HOMEVI,70.10Z,GE,Activités des sièges sociaux
803769827,FERRERO FRANCE COMMERCIALE,46.36Z,ETI,"Commerce de gros (commerce interentreprises) de sucre, chocolat et confiserie"
817439557,ORANO CHIMIE-ENRICHISSEMENT,20.13A,GE,Enrichissement et  retraitement de matières nucléaires
817439599,ORANO RECYCLAGE,20.13A,GE,Enrichissement et  retraitement de matières nucléaires
830015749,FINANCIERE COLISEE,70.22Z,GE,Conseil pour les affaires et autres conseils de gestion
830065363,INOVYN EUROPE LIMITED,20.59Z,ETI,Fabrication d'autres produits chimiques n.c.a.
840434740,CREDIT AGRICOLE-GROUP INFRASTRUCTURE PLATFORM,62.09Z,GE,Autres activités informatiques
840951230,YUNNAN PROVINCIAL ENERGY INVESTMENT GROUP,70.21Z,PME,Conseil en relations publiques et communication
854800745,AXIMA CONCEPT,43.22B,GE,Travaux d'installation d'équipements thermiques et de climatisation
855200507,MANUFACTURE FRANCAISE DES PNEUMATIQUES MICHELIN,70.10Z,GE,Activités des sièges sociaux
855200887,COMPAGNIE GENERALE DES ETABLISSEMENTS MICHELIN,77.40Z,GE,"Location-bail de propriété intellectuelle et de produits similaires, à l'exception des œuvres soumises à copyright"
856802400,TOTALENERGIES PROXI NORD OUEST,46.71Z,GE,Commerce de gros (commerce interentreprises) de combustibles et de produits annexes
857802508,MANITOU BF,28.22Z,GE,Fabrication de matériel de levage et de manutention
864500418,ARMORINE,46.71Z,ETI,Commerce de gros (commerce interentreprises) de combustibles et de produits annexes
867800427,SYSTEME U OUEST,46.17A,PME,Centrales d'achat alimentaires
876580077,LABORATOIRES DE BIOLOGIE VEGETALE YVES ROCHER,47.75Z,GE,Commerce de détail de parfumerie et de produits de beauté en magasin spécialisé
905620035,SOCIETE JAS HENNESSY & C°,11.01Z,GE,Production de boissons alcooliques distillées
907050462,VITERRA FRANCE S.A.S.,46.21Z,ETI,"Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail"
907649842,MATERNE & ASSOCIES,69.10Z,PME,Activités juridiques
908223852,ROX INVEST SA,64.20Z,GE,Activités des sociétés holding
917755605,SAGEMCOM TOPCO,64.20Z,GE,Activités des sociétés holding
979666815,SEYDOUX FAMILY,64.20Z,ETI,Activités des sociétés holding
302475041,STELLANTIS &YOU FRANCE SAS,45.11Z,GE,Commerce de voitures et de véhicules automobiles légers
302519228,ROTHSCHILD & CO,70.10Z,ETI,Activités des sièges sociaux
302527700,CFM INTERNATIONAL,46.69B,ETI,Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers
302588462,SAIPEM SA,42.91Z,ETI,Construction d'ouvrages maritimes et fluviaux
302715966,VIVESCIA,46.21Z,GE,"Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail"
303284269,APERAM STAINLESS EUROPE,46.12B,GE,"Autres intermédiaires du commerce en combustibles, métaux, minéraux et produits chimiques"
303628499,TEREOS SCA,46.21Z,GE,"Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail"
303775027,TOTALENERGIES EP ANGOLA,64.20Z,GE,Activités des sociétés holding
304187701,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,64.19Z,GE,Autres intermédiations monétaires
304515562,ARTS ET BOIS,29.20Z,GE,Fabrication de carrosseries et remorques
304555634,IPSOS,70.10Z,ETI,Activités des sièges sociaux
304602956,COOPERATIVE U,46.17A,GE,Centrales d'achat alimentaires
314093352,SARTORIUS STEDIM BIOTECH,68.32A,ETI,Administration d'immeubles et autres biens immobiliers
314119504,AIR LIQUIDE FRANCE INDUSTRIE,20.11Z,GE,Fabrication de gaz industriels
314222902,AMUNDI,64.30Z,GE,Fonds de placement et entités financières similaires
314685454,AGACHE,69.20Z,GE,Activités comptables
314722026,AUMOVIO FRANCE,72.19Z,GE,Recherche-développement en autres sciences physiques et naturelles
315013359,GE MEDICAL SYSTEMS,26.60Z,GE,"Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques"
315065292,LA FRANCAISE DES JEUX,92.00Z,GE,Organisation de jeux de hasard et d'argent
315107474,GROUPE CHANNEL POIDS LOURDS,45.11Z,ETI,Commerce de voitures et de véhicules automobiles légers
315281113,SOC D'IMPORTATION LECLERC,46.71Z,GE,Commerce de gros (commerce interentreprises) de combustibles et de produits annexes
327733184,MICROSOFT FRANCE,62.02A,GE,Conseil en systèmes et logiciels informatiques
328307335,PAROT AUTOMOTIVE SUD-OUEST,45.11Z,ETI,Commerce de voitures et de véhicules automobiles légers
328760145,VIEL ET COMPAGNIE-FINANCE,64.20Z,ETI,Activités des sociétés holding
343059564,SOCIETE FRANCAISE DU RADIOTELEPHONE - S.F.R,61.20Z,GE,Télécommunications sans fil
343088134,VINCI CONSTRUCTION GRANDS PROJETS,42.99Z,GE,Construction d'autres ouvrages de génie civil n.c.a.
343134763,VIVENDI SE,70.10Z,GE,Activités des sièges sociaux
343688016,COCA-COLA EUROPACIFIC PARTNERS FRANCE,11.07B,GE,Production de boissons rafraîchissantes
344097902,ALLERGAN INDUSTRIE,21.20Z,GE,Fabrication de préparations pharmaceutiques
344103270,KIABI EUROPE,47.71Z,GE,Commerce de détail d'habillement en magasin spécialisé
388698201,OCP REPARTITION,46.46Z,GE,Commerce de gros (commerce interentreprises) de produits pharmaceutiques
388734568,COMPUTACENTER FRANCE,46.51Z,ETI,"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels"
389023870,TOTALENERGIES EP KAZAKHSTAN,06.10Z,GE,Extraction de pétrole brut
389058447,ALSTOM,70.10Z,GE,Activités des sièges sociaux
389191800,GRID SOLUTIONS,27.12Z,GE,Fabrication de matériel de distribution et de commande électrique
389191982,ALSTOM TRANSPORT SA,30.20Z,GE,Construction de locomotives et d'autre matériel ferroviaire roulant
389290586,LEGRAND SNC,46.69A,GE,Commerce de gros (commerce interentreprises) de matériel électrique
389422320,TOUTON,46.37Z,ETI,"Commerce de gros (commerce interentreprises) de café, thé, cacao et épices"
389505975,UNICREDIT BANK GMBH,64.19Z,PME,Autres intermédiations monétaires
389534256,ALCATEL SUBMARINE NETWORKS,42.22Z,GE,Construction de réseaux électriques et de télécommunications
400461950,SFR FIBRE SAS,61.10Z,GE,Télécommunications filaires
400628079,GROUPE INDUSTRIEL MARCEL DASSAULT,70.10Z,GE,Activités des sièges sociaux
419683818,IVECO FRANCE,45.19Z,GE,Commerce d'autres véhicules automobiles
419838529,IPSEN,70.10Z,GE,Activités des sièges sociaux
420410920,INFINEUM FRANCE,20.59Z,ETI,Fabrication d'autres produits chimiques n.c.a.
420495178,SOCIETE AIR FRANCE,51.10Z,GE,Transports aériens de passagers
420559056,TOYOTA MOTOR MANUFACTURING FRANCE,29.10Z,GE,Construction de véhicules automobiles
420624777,GROUPE CANAL+,61.30Z,GE,Télécommunications par satellite
420705444,GLOBAL AUTOMOTIVE LOGISTICS,64.20Z,ETI,Activités des sociétés holding
420916918,AIRBUS OPERATIONS,30.30Z,GE,Construction aéronautique et spatiale
431682764,SOFIRAM,64.20Z,ETI,Activités des sociétés holding
431934603,NOVALI,70.10Z,ETI,Activités des sièges sociaux
432345783,PROMETHEE GROUP,64.20Z,PME,Activités des sociétés holding
432413599,COFACE SA,64.20Z,ETI,Activités des sociétés holding
447250044,BONDUELLE,64.20Z,ETI,Activités des sociétés holding
447800475,CLARIANE,70.22Z,GE,Conseil pour les affaires et autres conseils de gestion
448139634,ASTRAZENECA DUNKERQUE PRODUCTION,21.20Z,GE,Fabrication de préparations pharmaceutiques
448694133,HP FRANCE SAS,46.51Z,ETI,"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels"
481529410,ASTR'IN FINANCES ET MANAGEMENT,70.22Z,PME,Conseil pour les affaires et autres conseils de gestion
493254908,SMURFIT WESTROCK FRANCE,17.21A,GE,Fabrication de carton ondulé
493265284,COMPAGNIE D'EXPLOITATION ET DE REPARTITION PHARMACEUTIQUE,46.46Z,GE,Commerce de gros (commerce interentreprises) de produits pharmaceutiques
493322978,EDENRED,70.10Z,ETI,Activités des sièges sociaux
493378939,NOKIA NETWORKS FRANCE,46.52Z,GE,Commerce de gros (commerce interentreprises) de composants et d'équipements électroniques et de télécommunication
493455042,BPCE,64.19Z,GE,Autres intermédiations monétaires
493467591,SOCIETE VALMY DEFENSE 17 - SVD 17,35.23Z,GE,Commerce de combustibles gazeux par conduites
493789135,RCM,82.11Z,ETI,Services administratifs combinés de bureau
494321276,GROUPE KEOLIS SAS,70.10Z,GE,Activités des sièges sociaux
508513785,SOCOPA VIANDES,10.11Z,GE,Transformation et conservation de la viande de boucherie
509016804,JAGUAR LAND ROVER FRANCE,45.11Z,ETI,Commerce de voitures et de véhicules automobiles légers
509243564,HONDA MOTOR EUROPE LTD,45.40Z,ETI,Commerce et réparation de motocycles
509395109,ESSITY FRANCE,46.45Z,GE,Commerce de gros (commerce interentreprises) de parfumerie et de produits de beauté
509547675,J.P.J.S. SCA,64.20Z,GE,Activités des sociétés holding
509553459,M H C S,11.02A,GE,Fabrication de vins effervescents
522772029,CSKZ INVESTISSEMENTS,64.20Z,ETI,Activités des sociétés holding
523990430,CEREALES ET INVESTISSEMENTS,64.30Z,ETI,Fonds de placement et entités financières similaires
539641795,MAGELLAN,64.20Z,PME,Activités des sociétés holding
539673814,AIR EUROPA LINEAS AEREAS SA,51.10Z,PME,Transports aériens de passagers
539797936,BRUNO ROUSSET,64.20Z,ETI,Activités des sociétés holding
542005376,FORVIA,70.10Z,GE,Activités des sièges sociaux
542010053,NORTH ATLANTIC ENERGIES,19.20Z,GE,Raffinage du pétrole
542014428,NESTLE FRANCE,10.83Z,GE,Transformation du thé et du café
542016381,CREDIT INDUSTRIEL ET COMMERCIAL,64.19Z,GE,Autres intermédiations monétaires
542023841,FIVES,70.10Z,ETI,Activités des sièges sociaux
542034327,BP FRANCE,46.71Z,ETI,Commerce de gros (commerce interentreprises) de combustibles et de produits annexes
542038716,TOTALENERGIES MARKETING AFRIQUE,46.71Z,GE,Commerce de gros (commerce interentreprises) de combustibles et de produits annexes
542039532,COMPAGNIE DE SAINT-GOBAIN,70.10Z,GE,Activités des sièges sociaux
542044524,NATIXIS,64.92Z,GE,Autre distribution de crédit
542048574,SCHNEIDER ELECTRIC SE,64.20Z,GE,Activités des sociétés holding
542050315,CEVA LOGISTICS EUROPE,52.29B,GE,Affrètement et organisation des transports
542051180,TOTALENERGIES SE,70.10Z,GE,Activités des sièges sociaux
542052766,CHANEL,46.42Z,GE,Commerce de gros (commerce interentreprises) d'habillement et de chaussures
542065479,STELLANTIS AUTO SAS,29.10Z,GE,Construction de véhicules automobiles
542069158,BASF FRANCE SAS,46.75Z,GE,Commerce de gros (commerce interentreprises) de produits chimiques
542070958,LUBRIZOL FRANCE,20.59Z,ETI,Fabrication d'autres produits chimiques n.c.a.
542080601,PUBLICIS GROUPE S.A.,70.10Z,GE,Activités des sièges sociaux
542080791,ACTIA GROUP,64.20Z,ETI,Activités des sociétés holding
542086616,ETABLISSEMENTS DARTY ET FILS,46.19A,GE,Centrales d'achat non alimentaires
542088067,BEL,10.51C,GE,Fabrication de fromage
542094065,SOCIETE ANONYME DES GALERIES LAFAYETTE,70.10Z,GE,Activités des sièges sociaux
542095336,LAGARDERE TRAVEL RETAIL FRANCE,47.62Z,GE,Commerce de détail de journaux et papeterie en magasin spécialisé
542097522,CA CONSUMER FINANCE,64.19Z,GE,Autres intermédiations monétaires
542097902,BNP PARIBAS PERSONAL FINANCE,64.19Z,GE,Autres intermédiations monétaires
542107651,ENGIE,35.23Z,GE,Commerce de combustibles gazeux par conduites
542107800,OTIS,43.29B,GE,Autres travaux d'installation n.c.a.
778127613,AIRBUS ATLANTIC,30.30Z,GE,Construction aéronautique et spatiale
793906728,MAISONS DU MONDE,70.22Z,ETI,Conseil pour les affaires et autres conseils de gestion
794383844,LUFTHANSA TECHNIK AKTIENGESELLSCHAFT,33.16Z,PME,Réparation et maintenance d'aéronefs et d'engins spatiaux
809429053,ESTHER,64.20Z,ETI,Activités des sociétés holding
809450935,GAMA,70.10Z,ETI,Activités des sièges sociaux
809867948,ADOVA HOLDING,66.30Z,ETI,Gestion de fonds
810029413,JACOBS DOUWE EGBERTS FR SAS,10.83Z,GE,Transformation du thé et du café
822451597,FINANCIERE DU RIED,66.30Z,PME,Gestion de fonds
822650206,FINALAIN,70.10Z,ETI,Activités des sièges sociaux
823244371,AMAZON FRANCE TRANSPORT SAS,52.29B,GE,Affrètement et organisation des transports
833285877,GLOBAL LNG,66.12Z,GE,Courtage de valeurs mobilières et de marchandises
833372774,KAPLA HOLDING,64.20Z,ETI,Activités des sociétés holding
833977325,DEMATHIEU BARD HOLDING 4,64.20Z,ETI,Activités des sociétés holding
834042814,CONGO MARITIME SERVICES COMPANY,50.20Z,PME,Transports maritimes et côtiers de fret
834149403,NOVA ORSAY,64.30Z,ETI,Fonds de placement et entités financières similaires
843965559,MEAUXCAS,47.52B,GE,"Commerce de détail de quincaillerie, peintures et verres en grandes surfaces (400 m2et plus)"
843966722,BOBIGNYCASH,47.52B,GE,"Commerce de détail de quincaillerie, peintures et verres en grandes surfaces (400 m2et plus)"
844435883,TOTALENERGIES ONETECH,71.12B,GE,"Ingénierie, études techniques"
844436154,TOTALENERGIES EP UMM LULU SARB,06.10Z,GE,Extraction de pétrole brut
844646190,BOLLENECASH,47.52B,GE,"Commerce de détail de quincaillerie, peintures et verres en grandes surfaces (400 m2et plus)"
844687749,THALES DIS FRANCE SAS,26.11Z,GE,Fabrication de composants électroniques
844718551,OPELLA HEALTHCARE INTERNATIONAL SAS,46.46Z,GE,Commerce de gros (commerce interentreprises) de produits pharmaceutiques
844752089,CAR LOVERS HOLDING,64.20Z,ETI,Activités des sociétés holding
844789461,CONNEXIONS INVESTISSEMENT,64.20Z,GE,Activités des sociétés holding
881761555,DEVOTEAM GROUP,66.30Z,ETI,Gestion de fonds
899130116,DIOT - SIACI TOPCO,66.30Z,ETI,Gestion de fonds
973505357,FEDEX EXPRESS FR,52.29A,GE,"Messagerie, fret express"
320651649,GROUPE DUBREUIL,70.10Z,GE,Activités des sièges sociaux
321514002,MARTIN-BROWER FRANCE SAS,49.41A,ETI,Transports routiers de fret interurbains
333520591,AFRICA MOBILITY SOLUTIONS FRANCE,45.11Z,GE,Commerce de voitures et de véhicules automobiles légers
333583466,KUEHNE+NAGEL,52.10B,GE,Entreposage et stockage non frigorifique
333773174,VANTIVA,70.10Z,ETI,Activités des sièges sociaux
333834562,LYONDELL CHIMIE FRANCE,20.14Z,GE,Fabrication d'autres produits chimiques organiques de base
334175221,UNITED PARCEL SERVICE FRANCE SAS,52.29A,ETI,"Messagerie, fret express"
347384570,BOULANGER,47.54Z,GE,Commerce de détail d'appareils électroménagers en magasin spécialisé
347501413,ADVITAM PARTICIPATIONS,64.20Z,ETI,Activités des sociétés holding
347538043,AS 24,46.71Z,GE,Commerce de gros (commerce interentreprises) de combustibles et de produits annexes
347851800,BERI 21,71.12B,ETI,"Ingénierie, études techniques"
348119728,CRISTALCO,46.36Z,GE,"Commerce de gros (commerce interentreprises) de sucre, chocolat et confiserie"
348607417,ALTEN,62.02A,GE,Conseil en systèmes et logiciels informatiques
381511039,PEPSICO FRANCE,46.34Z,ETI,Commerce de gros (commerce interentreprises) de boissons
381634336,SOCIETE COOPERATIVE D'APPROVISIONNEMENT DE LA REGION DE L'ARTOIS SCAPARTOIS,46.17A,ETI,Centrales d'achat alimentaires
381904382,FINANCIERE SNOP-DUNOIS,70.10Z,ETI,Activités des sièges sociaux
382225050,INOXA,46.75Z,ETI,Commerce de gros (commerce interentreprises) de produits chimiques
382231801,ALLIANZ AFRICA,66.30Z,GE,Gestion de fonds
382296747,SOC DE PARTICIPATION DEAUVILLAISE,64.20Z,GE,Activités des sociétés holding
393068077,CHANEL COORDINATION,46.42Z,GE,Commerce de gros (commerce interentreprises) d'habillement et de chaussures
393162433,FAURECIA SIEGES D'AUTOMOBILE,29.32Z,GE,Fabrication d'autres équipements automobiles
393341516,AIRBUS DEFENCE AND SPACE SAS,30.30Z,GE,Construction aéronautique et spatiale
393525852,NEXANS,70.10Z,GE,Activités des sièges sociaux
413935776,ARCELORMITTAL CENTRES DE SERVICES,46.72Z,GE,Commerce de gros (commerce interentreprises) de minerais et métaux
413957804,GROUPE SECHE,70.10Z,ETI,Activités des sièges sociaux
414668194,PEUGEOT CITROEN SOCHAUX SNC,29.10Z,GE,Construction de véhicules automobiles
414713495,PEUGEOT CITROEN RENNES SNC,29.10Z,GE,Construction de véhicules automobiles
414713503,PEUGEOT CITROEN MULHOUSE SNC,29.10Z,GE,Construction de véhicules automobiles
414724864,ASN HOLDING,66.30Z,GE,Gestion de fonds
414725101,THALES ALENIA SPACE FRANCE,30.30Z,GE,Construction aéronautique et spatiale
414815217,SAFRAN AIRCRAFT ENGINES,30.30Z,GE,Construction aéronautique et spatiale
414819409,CONFORAMA FRANCE,47.59A,GE,Commerce de détail de meubles
414842062,HEINEKEN ENTREPRISE,11.05Z,GE,Fabrication de bière
421100645,LA BANQUE POSTALE,64.19Z,GE,Autres intermédiations monétaires
421106709,SCHNEIDER ELECTRIC FRANCE,27.12Z,GE,Fabrication de matériel de distribution et de commande électrique
421174038,ARCELORMITTAL MEDITERRANEE,24.10Z,GE,Sidérurgie
421199274,SOCIETE INVESTISSEMENT DECONINCK,70.10Z,ETI,Activités des sièges sociaux
421206079,ADEO SERVICES,46.15Z,GE,"Intermédiaires du commerce en meubles, articles de ménage et quincaillerie"
421218132,ALLIANCE HEALTHCARE REPARTITION,46.46Z,GE,Commerce de gros (commerce interentreprises) de produits pharmaceutiques
421259615,LEGRAND,70.10Z,GE,Activités des sièges sociaux
421266271,GROUPE SEB EXPORT,46.43Z,GE,Commerce de gros (commerce interentreprises) d'appareils électroménagers
421343369,CRISTAL UNION,10.81Z,GE,Fabrication de sucre
421938861,FREE,61.10Z,GE,Télécommunications filaires
422251934,SINERGY,46.12A,ETI,Centrales d'achat de carburant
439067612,CHANTIERS DE L'ATLANTIQUE,30.11Z,GE,Construction de navires et de structures flottantes
439289265,ARAMIS,45.11Z,GE,Commerce de voitures et de véhicules automobiles légers
439418922,ID LOGISTICS GROUP,70.22Z,GE,Conseil pour les affaires et autres conseils de gestion
439436569,ADISSEO FRANCE S.A.S.,20.14Z,GE,Fabrication d'autres produits chimiques organiques de base
439769654,ESSILOR INTERNATIONAL,32.50B,GE,Fabrication de lunettes
439793811,EG RETAIL (FRANCE) SAS,47.30Z,ETI,Commerce de détail de carburants en magasin spécialisé
451479208,GE WIND FRANCE SAS,28.11Z,GE,"Fabrication de moteurs et turbines, à l'exception des moteurs d’avions et de véhicules"
451489165,ESOMET,46.11Z,,"Intermédiaires du commerce en matières premières agricoles, animaux vivants, matières premières textiles et produits semi-finis"
451647903,BRICO DEPOT,47.52B,GE,"Commerce de détail de quincaillerie, peintures et verres en grandes surfaces (400 m2et plus)"
451678973,CASTORAMA FRANCE,47.52B,GE,"Commerce de détail de quincaillerie, peintures et verres en grandes surfaces (400 m2et plus)"
451746077,CREDIT AGRICOLE ASSURANCES,70.10Z,GE,Activités des sièges sociaux
452228596,FM LOGISTIC CORPORATE,70.10Z,ETI,Activités des sièges sociaux
452532856,ITM ALIMENTAIRE REGION PARISIENNE,46.17A,GE,Centrales d'achat alimentaires
452534126,ITM ALIMENTAIRE CENTRE EST,46.17A,GE,Centrales d'achat alimentaires
452534241,ITM ALIMENTAIRE CENTRE OUEST,46.17A,GE,Centrales d'achat alimentaires
452534340,ITM ALIMENTAIRE EST,46.17A,GE,Centrales d'achat alimentaires
452534415,ITM ALIMENTAIRE OUEST,46.17A,GE,Centrales d'achat alimentaires
452534472,ITM ALIMENTAIRE NORD,46.17A,GE,Centrales d'achat alimentaires
452534621,ITM ALIMENTAIRE SUD EST,46.17A,GE,Centrales d'achat alimentaires
452539679,ITM ALIMENTAIRE SUD OUEST,46.17A,GE,Centrales d'achat alimentaires
494887854,MARS WRIGLEY CONFECTIONERY FRANCE,10.82Z,GE,"Fabrication de cacao, chocolat et de produits de confiserie"
495137077,HOLDING D'INFRASTRUCTURES DES METIERS DE L'ENVIRONNEMENT,64.20Z,GE,Activités des sociétés holding
495361602,LOGISTA FRANCE,46.35Z,GE,Commerce de gros (commerce interentreprises) de produits à base de tabac
495780348,COOPERATIVE D'EXPLOITATION ET DE REPARTITION PHARMACEUTIQUE DE BRETAGNE ATLANTIQUE,46.46Z,ETI,Commerce de gros (commerce interentreprises) de produits pharmaceutiques
496680018,KERMENE,10.11Z,GE,Transformation et conservation de la viande de boucherie
497658377,FINANCIERE GAILLON 8,64.20Z,,Activités des sociétés holding
510899909,ACTUAL GROUP,70.10Z,GE,Activités des sièges sociaux
524335262,TESLA FRANCE,45.11Z,ETI,Commerce de voitures et de véhicules automobiles légers
537709453,MOLDINO TOOL ENGINEERING EUROPE GMBH,47.52A,PME,"Commerce de détail de quincaillerie, peintures et verres en petites surfaces (moins de 400 m2)"
538695040,KEM ONE,20.16Z,ETI,Fabrication de matières plastiques de base
753308238,ACTION FRANCE,47.19B,GE,Autres commerces de détail en magasin non spécialisé
758501001,LEGRAND FRANCE,27.33Z,GE,Fabrication de matériel d'installation électrique
759200934,SOREAL,46.21Z,PME,"Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail"
769800202,HEPPNER SOCIETE DE TRANSPORTS,52.29B,ETI,Affrètement et organisation des transports
790858294,PRIMARK FRANCE SAS,47.71Z,ETI,Commerce de détail d'habillement en magasin spécialisé
790883144,MC2 PHARMA,70.22Z,,Conseil pour les affaires et autres conseils de gestion
790893358,BAMEO,35.11Z,PME,Production d'électricité
807641360,CONSTELLIUM NEUF BRISACH,24.42Z,GE,Métallurgie de l'aluminium
807976527,ASCOM INVEST,64.20Z,GE,Activités des sociétés holding
808234801,MONDELEZ FRANCE SAS,46.36Z,GE,"Commerce de gros (commerce interentreprises) de sucre, chocolat et confiserie"
808332670,SNCF,49.10Z,,Transport ferroviaire interurbain de voyageurs
808448757,SOCIETE BRETONNE DE VOLAILLE,46.32C,GE,Commerce de gros (commerce interentreprises) de volailles et gibier
808636849,CERTAS ENERGY FRANCE,47.30Z,GE,Commerce de détail de carburants en magasin spécialisé
823619804,SIEMENS GAMESA RENEWABLE ENERGY S.A.S.,33.20B,ETI,Installation de machines et équipements mécaniques
823969613,ALGEMENE ELECTRISCHE ONDERNEMINGEN KAMIEL VERSTRAETE,43.21A,PME,Travaux d'installation électrique dans tous locaux
