siren,denominationUniteLegale,activitePrincipaleUniteLegale,categorieEntreprise
529222879,ALTRAD INVESTMENT AUTHORITY,70.10Z,GE
529313652,COENTREPRISE DE TRANSPORT D'ELECTRICITE,64.20Z,GE
601251614,BOLLORE ENERGY,46.71Z,GE
602025538,VOLKSWAGEN GROUP AUTOMOTIVE RETAIL FRANCE,45.11Z,GE
602036444,ACCOR,70.10Z,GE
602060147,HACHETTE LIVRE,58.11Z,GE
609849153,LILLY FRANCE,21.20Z,ETI
612035832,CHRISTIAN DIOR COUTURE,46.42Z,GE
612039495,THALES AVS FRANCE SAS,26.51A,GE
622037083,RHODIA OPERATIONS,20.14Z,ETI
622042422,YARA FRANCE,20.15Z,ETI
622044287,MERCEDES-BENZ FRANCE,45.11Z,GE
622045383,GROUPE CRIT,64.30Z,GE
632012100,L'OREAL,77.40Z,GE
632041042,COMPASS GROUP FRANCE,56.29A,GE
632045381,ERAMET,46.72Z,GE
632050019,SANEF,52.21Z,GE
637020819,SOC CENTRALE APPROVISIONNEMENT ARMORIQUE,46.17A,ETI
642007991,SOC COOPER GROUPEM ACHAT CENTRE LECLERC,46.17A,GE
642050199,AUTOMOBILES CITROEN,45.11Z,GE
642880785,ETABLISSEMENTS J. SOUFFLET,70.10Z,GE
652014051,CARREFOUR,64.20Z,GE
652031857,HEWLETT-PACKARD FRANCE,46.51Z,ETI
780094983,WOREX,46.71Z,GE
780129987,RENAULT SAS,29.10Z,GE
780130175,SHELL FRANCE,46.71Z,GE
780152914,KLEPIERRE,68.20B,ETI
780660437,COBEVIAL,46.23Z,ETI
791978133,DOMINGOS DA SILVA TEIXEIRA SA,41.20B,PME
792870743,TEREOS COMMODITIES FRANCE,46.71Z,GE
803070333,HOMEVI,70.10Z,GE
803769827,FERRERO FRANCE COMMERCIALE,46.36Z,ETI
817439557,ORANO CHIMIE-ENRICHISSEMENT,20.13A,GE
817439599,ORANO RECYCLAGE,20.13A,GE
830015749,FINANCIERE COLISEE,70.22Z,GE
830065363,INOVYN EUROPE LIMITED,20.59Z,ETI
840434740,CREDIT AGRICOLE-GROUP INFRASTRUCTURE PLATFORM,62.09Z,GE
840951230,YUNNAN PROVINCIAL ENERGY INVESTMENT GROUP,70.21Z,PME
854800745,AXIMA CONCEPT,43.22B,GE
855200507,MANUFACTURE FRANCAISE DES PNEUMATIQUES MICHELIN,70.10Z,GE
855200887,COMPAGNIE GENERALE DES ETABLISSEMENTS MICHELIN,77.40Z,GE
856802400,TOTALENERGIES PROXI NORD OUEST,46.71Z,GE
857802508,MANITOU BF,28.22Z,GE
864500418,ARMORINE,46.71Z,ETI
867800427,SYSTEME U OUEST,46.17A,PME
876580077,LABORATOIRES DE BIOLOGIE VEGETALE YVES ROCHER,47.75Z,GE
905620035,SOCIETE JAS HENNESSY & C°,11.01Z,GE
907050462,VITERRA FRANCE S.A.S.,46.21Z,ETI
907649842,MATERNE & ASSOCIES,69.10Z,PME
908223852,ROX INVEST SA,64.20Z,GE
917755605,SAGEMCOM TOPCO,64.20Z,GE
979666815,SEYDOUX FAMILY,64.20Z,ETI
302475041,STELLANTIS &YOU FRANCE SAS,45.11Z,GE
302519228,ROTHSCHILD & CO,70.10Z,ETI
302527700,CFM INTERNATIONAL,46.69B,ETI
302588462,SAIPEM SA,42.91Z,ETI
302715966,VIVESCIA,46.21Z,GE
303284269,APERAM STAINLESS EUROPE,46.12B,GE
303628499,TEREOS SCA,46.21Z,GE
303775027,TOTALENERGIES EP ANGOLA,64.20Z,GE
304187701,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,64.19Z,GE
304515562,ARTS ET BOIS,29.20Z,GE
304555634,IPSOS,70.10Z,ETI
304602956,COOPERATIVE U,46.17A,GE
314093352,SARTORIUS STEDIM BIOTECH,68.32A,ETI
314119504,AIR LIQUIDE FRANCE INDUSTRIE,20.11Z,GE
314222902,AMUNDI,64.30Z,GE
314685454,AGACHE,69.20Z,GE
314722026,AUMOVIO FRANCE,72.19Z,GE
315013359,GE MEDICAL SYSTEMS,26.60Z,GE
315065292,LA FRANCAISE DES JEUX,92.00Z,GE
315107474,GROUPE CHANNEL POIDS LOURDS,45.11Z,ETI
315281113,SOC D'IMPORTATION LECLERC,46.71Z,GE
327733184,MICROSOFT FRANCE,62.02A,GE
328307335,PAROT AUTOMOTIVE SUD-OUEST,45.11Z,ETI
328760145,VIEL ET COMPAGNIE-FINANCE,64.20Z,ETI
343059564,SOCIETE FRANCAISE DU RADIOTELEPHONE - S.F.R,61.20Z,GE
343088134,VINCI CONSTRUCTION GRANDS PROJETS,42.99Z,GE
343134763,VIVENDI SE,70.10Z,GE
343688016,COCA-COLA EUROPACIFIC PARTNERS FRANCE,11.07B,GE
344097902,ALLERGAN INDUSTRIE,21.20Z,GE
344103270,KIABI EUROPE,47.71Z,GE
388698201,OCP REPARTITION,46.46Z,GE
388734568,COMPUTACENTER FRANCE,46.51Z,ETI
389023870,TOTALENERGIES EP KAZAKHSTAN,06.10Z,GE
389058447,ALSTOM,70.10Z,GE
389191800,GRID SOLUTIONS,27.12Z,GE
389191982,ALSTOM TRANSPORT SA,30.20Z,GE
389290586,LEGRAND SNC,46.69A,GE
389422320,TOUTON,46.37Z,ETI
389505975,UNICREDIT BANK GMBH,64.19Z,PME
389534256,ALCATEL SUBMARINE NETWORKS,42.22Z,GE
400461950,SFR FIBRE SAS,61.10Z,GE
400628079,GROUPE INDUSTRIEL MARCEL DASSAULT,70.10Z,GE
419683818,IVECO FRANCE,45.19Z,GE
419838529,IPSEN,70.10Z,GE
420410920,INFINEUM FRANCE,20.59Z,ETI
420495178,SOCIETE AIR FRANCE,51.10Z,GE
420559056,TOYOTA MOTOR MANUFACTURING FRANCE,29.10Z,GE
420624777,GROUPE CANAL+,61.30Z,GE
420705444,GLOBAL AUTOMOTIVE LOGISTICS,64.20Z,ETI
420916918,AIRBUS OPERATIONS,30.30Z,GE
431682764,SOFIRAM,64.20Z,ETI
431934603,NOVALI,70.10Z,ETI
432345783,PROMETHEE GROUP,64.20Z,PME
432413599,COFACE SA,64.20Z,ETI
447250044,BONDUELLE,64.20Z,ETI
447800475,CLARIANE,70.22Z,GE
448139634,ASTRAZENECA DUNKERQUE PRODUCTION,21.20Z,GE
448694133,HP FRANCE SAS,46.51Z,ETI
481529410,ASTR'IN FINANCES ET MANAGEMENT,70.22Z,PME
493254908,SMURFIT WESTROCK FRANCE,17.21A,GE
493265284,COMPAGNIE D'EXPLOITATION ET DE REPARTITION PHARMACEUTIQUE,46.46Z,GE
493322978,EDENRED,70.10Z,ETI
493378939,NOKIA NETWORKS FRANCE,46.52Z,GE
493455042,BPCE,64.19Z,GE
493467591,SOCIETE VALMY DEFENSE 17 - SVD 17,35.23Z,GE
493789135,RCM,82.11Z,ETI
494321276,GROUPE KEOLIS SAS,70.10Z,GE
508513785,SOCOPA VIANDES,10.11Z,GE
509016804,JAGUAR LAND ROVER FRANCE,45.11Z,ETI
509243564,HONDA MOTOR EUROPE LTD,45.40Z,ETI
509395109,ESSITY FRANCE,46.45Z,GE
509547675,J.P.J.S. SCA,64.20Z,GE
509553459,M H C S,11.02A,GE
522772029,CSKZ INVESTISSEMENTS,64.20Z,ETI
523990430,CEREALES ET INVESTISSEMENTS,64.30Z,ETI
539641795,MAGELLAN,64.20Z,PME
539673814,AIR EUROPA LINEAS AEREAS SA,51.10Z,PME
539797936,BRUNO ROUSSET,64.20Z,ETI
542005376,FORVIA,70.10Z,GE
542010053,NORTH ATLANTIC ENERGIES,19.20Z,GE
542014428,NESTLE FRANCE,10.83Z,GE
542016381,CREDIT INDUSTRIEL ET COMMERCIAL,64.19Z,GE
542023841,FIVES,70.10Z,ETI
542034327,BP FRANCE,46.71Z,ETI
542038716,TOTALENERGIES MARKETING AFRIQUE,46.71Z,GE
542039532,COMPAGNIE DE SAINT-GOBAIN,70.10Z,GE
542044524,NATIXIS,64.92Z,GE
542048574,SCHNEIDER ELECTRIC SE,64.20Z,GE
542050315,CEVA LOGISTICS EUROPE,52.29B,GE
542051180,TOTALENERGIES SE,70.10Z,GE
542052766,CHANEL,46.42Z,GE
542065479,STELLANTIS AUTO SAS,29.10Z,GE
542069158,BASF FRANCE SAS,46.75Z,GE
542070958,LUBRIZOL FRANCE,20.59Z,ETI
542080601,PUBLICIS GROUPE S.A.,70.10Z,GE
542080791,ACTIA GROUP,64.20Z,ETI
542086616,ETABLISSEMENTS DARTY ET FILS,46.19A,GE
542088067,BEL,10.51C,GE
542094065,SOCIETE ANONYME DES GALERIES LAFAYETTE,70.10Z,GE
542095336,LAGARDERE TRAVEL RETAIL FRANCE,47.62Z,GE
542097522,CA CONSUMER FINANCE,64.19Z,GE
542097902,BNP PARIBAS PERSONAL FINANCE,64.19Z,GE
542107651,ENGIE,35.23Z,GE
542107800,OTIS,43.29B,GE
778127613,AIRBUS ATLANTIC,30.30Z,GE
793906728,MAISONS DU MONDE,70.22Z,ETI
794383844,LUFTHANSA TECHNIK AKTIENGESELLSCHAFT,33.16Z,PME
809429053,ESTHER,64.20Z,ETI
809450935,GAMA,70.10Z,ETI
809867948,ADOVA HOLDING,66.30Z,ETI
810029413,JACOBS DOUWE EGBERTS FR SAS,10.83Z,GE
822451597,FINANCIERE DU RIED,66.30Z,PME
822650206,FINALAIN,70.10Z,ETI
823244371,AMAZON FRANCE TRANSPORT SAS,52.29B,GE
833285877,GLOBAL LNG,66.12Z,GE
833372774,KAPLA HOLDING,64.20Z,ETI
833977325,DEMATHIEU BARD HOLDING 4,64.20Z,ETI
834042814,CONGO MARITIME SERVICES COMPANY,50.20Z,PME
834149403,NOVA ORSAY,64.30Z,ETI
843965559,MEAUXCAS,47.52B,GE
843966722,BOBIGNYCASH,47.52B,GE
844435883,TOTALENERGIES ONETECH,71.12B,GE
844436154,TOTALENERGIES EP UMM LULU SARB,06.10Z,GE
844646190,BOLLENECASH,47.52B,GE
844687749,THALES DIS FRANCE SAS,26.11Z,GE
844718551,OPELLA HEALTHCARE INTERNATIONAL SAS,46.46Z,GE
844752089,CAR LOVERS HOLDING,64.20Z,ETI
844789461,CONNEXIONS INVESTISSEMENT,64.20Z,GE
881761555,DEVOTEAM GROUP,66.30Z,ETI
899130116,DIOT - SIACI TOPCO,66.30Z,ETI
973505357,FEDEX EXPRESS FR,52.29A,GE
320651649,GROUPE DUBREUIL,70.10Z,GE
321514002,MARTIN-BROWER FRANCE SAS,49.41A,ETI
333520591,AFRICA MOBILITY SOLUTIONS FRANCE,45.11Z,GE
333583466,KUEHNE+NAGEL,52.10B,GE
333773174,VANTIVA,70.10Z,ETI
333834562,LYONDELL CHIMIE FRANCE,20.14Z,GE
334175221,UNITED PARCEL SERVICE FRANCE SAS,52.29A,ETI
347384570,BOULANGER,47.54Z,GE
347501413,ADVITAM PARTICIPATIONS,64.20Z,ETI
347538043,AS 24,46.71Z,GE
347851800,BERI 21,71.12B,ETI
348119728,CRISTALCO,46.36Z,GE
348607417,ALTEN,62.02A,GE
381511039,PEPSICO FRANCE,46.34Z,ETI
381634336,SOCIETE COOPERATIVE D'APPROVISIONNEMENT DE LA REGION DE L'ARTOIS SCAPARTOIS,46.17A,ETI
381904382,FINANCIERE SNOP-DUNOIS,70.10Z,ETI
382225050,INOXA,46.75Z,ETI
382231801,ALLIANZ AFRICA,66.30Z,GE
382296747,SOC DE PARTICIPATION DEAUVILLAISE,64.20Z,GE
393068077,CHANEL COORDINATION,46.42Z,GE
393162433,FAURECIA SIEGES D'AUTOMOBILE,29.32Z,GE
393341516,AIRBUS DEFENCE AND SPACE SAS,30.30Z,GE
393525852,NEXANS,70.10Z,GE
413935776,ARCELORMITTAL CENTRES DE SERVICES,46.72Z,GE
413957804,GROUPE SECHE,70.10Z,ETI
414668194,PEUGEOT CITROEN SOCHAUX SNC,29.10Z,GE
414713495,PEUGEOT CITROEN RENNES SNC,29.10Z,GE
414713503,PEUGEOT CITROEN MULHOUSE SNC,29.10Z,GE
414724864,ASN HOLDING,66.30Z,GE
414725101,THALES ALENIA SPACE FRANCE,30.30Z,GE
414815217,SAFRAN AIRCRAFT ENGINES,30.30Z,GE
414819409,CONFORAMA FRANCE,47.59A,GE
414842062,HEINEKEN ENTREPRISE,11.05Z,GE
421100645,LA BANQUE POSTALE,64.19Z,GE
421106709,SCHNEIDER ELECTRIC FRANCE,27.12Z,GE
421174038,ARCELORMITTAL MEDITERRANEE,24.10Z,GE
421199274,SOCIETE INVESTISSEMENT DECONINCK,70.10Z,ETI
421206079,ADEO SERVICES,46.15Z,GE
421218132,ALLIANCE HEALTHCARE REPARTITION,46.46Z,GE
421259615,LEGRAND,70.10Z,GE
421266271,GROUPE SEB EXPORT,46.43Z,GE
421343369,CRISTAL UNION,10.81Z,GE
421938861,FREE,61.10Z,GE
422251934,SINERGY,46.12A,ETI
439067612,CHANTIERS DE L'ATLANTIQUE,30.11Z,GE
439289265,ARAMIS,45.11Z,GE
439418922,ID LOGISTICS GROUP,70.22Z,GE
439436569,ADISSEO FRANCE S.A.S.,20.14Z,GE
439769654,ESSILOR INTERNATIONAL,32.50B,GE
439793811,EG RETAIL (FRANCE) SAS,47.30Z,ETI
451479208,GE WIND FRANCE SAS,28.11Z,GE
451489165,ESOMET,46.11Z,
451647903,BRICO DEPOT,47.52B,GE
451678973,CASTORAMA FRANCE,47.52B,GE
451746077,CREDIT AGRICOLE ASSURANCES,70.10Z,GE
452228596,FM LOGISTIC CORPORATE,70.10Z,ETI
452532856,ITM ALIMENTAIRE REGION PARISIENNE,46.17A,GE
452534126,ITM ALIMENTAIRE CENTRE EST,46.17A,GE
452534241,ITM ALIMENTAIRE CENTRE OUEST,46.17A,GE
452534340,ITM ALIMENTAIRE EST,46.17A,GE
452534415,ITM ALIMENTAIRE OUEST,46.17A,GE
452534472,ITM ALIMENTAIRE NORD,46.17A,GE
452534621,ITM ALIMENTAIRE SUD EST,46.17A,GE
452539679,ITM ALIMENTAIRE SUD OUEST,46.17A,GE
494887854,MARS WRIGLEY CONFECTIONERY FRANCE,10.82Z,GE
495137077,HOLDING D'INFRASTRUCTURES DES METIERS DE L'ENVIRONNEMENT,64.20Z,GE
495361602,LOGISTA FRANCE,46.35Z,GE
495780348,COOPERATIVE D'EXPLOITATION ET DE REPARTITION PHARMACEUTIQUE DE BRETAGNE ATLANTIQUE,46.46Z,ETI
496680018,KERMENE,10.11Z,GE
497658377,FINANCIERE GAILLON 8,64.20Z,
510899909,ACTUAL GROUP,70.10Z,GE
524335262,TESLA FRANCE,45.11Z,ETI
537709453,MOLDINO TOOL ENGINEERING EUROPE GMBH,47.52A,PME
538695040,KEM ONE,20.16Z,ETI
753308238,ACTION FRANCE,47.19B,GE
758501001,LEGRAND FRANCE,27.33Z,GE
759200934,SOREAL,46.21Z,PME
769800202,HEPPNER SOCIETE DE TRANSPORTS,52.29B,ETI
790858294,PRIMARK FRANCE SAS,47.71Z,ETI
790883144,MC2 PHARMA,70.22Z,
790893358,BAMEO,35.11Z,PME
807641360,CONSTELLIUM NEUF BRISACH,24.42Z,GE
807976527,ASCOM INVEST,64.20Z,GE
808234801,MONDELEZ FRANCE SAS,46.36Z,GE
808332670,SNCF,49.10Z,
808448757,SOCIETE BRETONNE DE VOLAILLE,46.32C,GE
808636849,CERTAS ENERGY FRANCE,47.30Z,GE
823619804,SIEMENS GAMESA RENEWABLE ENERGY S.A.S.,33.20B,ETI
823969613,ALGEMENE ELECTRISCHE ONDERNEMINGEN KAMIEL VERSTRAETE,43.21A,PME
824484653,SONEPAR FRANCE DISTRIBUTION,46.69A,GE
824515019,CARGLASS SERVICES,45.32Z,GE
824538557,ACTION LOGEMENT IMMOBILIER,66.30Z,GE
824543490,AGREGIO SOLUTIONS,46.19B,GE
850826728,CASPER TOPCO,70.10Z,ETI
850888850,SAGEMCOM GROUP,64.20Z,GE
882938616,EURIS HOLDING,66.30Z,GE
883713737,FRANKLIN TEMPLETON INTERNATIONAL SERVICES S.A.R.L,66.30Z,PME
900217753,SUEZ HOLDING,66.30Z,GE
901283754,HOLDAPAVE,70.10Z,GE
901327379,CIRCET HOLDING,66.30Z,ETI
922245931,AMPERE SAS,66.30Z,GE
922420963,DELTA,82.11Z,ETI
951685908,VICTAULIC  EUROPE BV,46.90Z,PME
999990005,STEF,68.20B,GE
317218758,WORLDLINE IGSA,70.10Z,ETI
317358380,AGCO S.A.S.,28.30Z,ETI
318516457,ARIANESPACE,51.22Z,GE
318571064,LOUIS VUITTON MALLETIER,46.49Z,GE
326300159,TELEVISION FRANCAISE 1,60.20A,GE
326720471,DUPESSEY HOLDING,46.76Z,ETI
326820065,SOPRA STERIA GROUP,62.02A,GE
339012452,METROPOLE TELEVISION,60.20A,GE
339379984,SAUR,36.00Z,GE
339993164,START PEOPLE,70.10Z,ETI
355801929,BANQUE FEDERATIVE DU CREDIT MUTUEL,64.19Z,GE
356000000,LA POSTE,53.10Z,GE
357200054,ROQUETTE FRERES,10.62Z,GE
358200913,GROUPE ADEO,70.10Z,GE
364800060,COVIVIO,68.20B,ETI
369200167,FRANCAISE DE MECANIQUE,29.10Z,GE
377913728,VILMORIN & CIE,70.10Z,GE
377994553,APRIL,70.10Z,ETI
378168470,MBDA FRANCE,25.40Z,GE
378176291,COFIDIS GROUP,64.20Z,GE
378291504,CARAVANES LA MANCELLE,29.20Z,GE
393712286,SEPHORA,47.75Z,GE
394400121,BASELL POLYOLEFINES FRANCE,20.16Z,GE
394583678,NESTLE PURINA PETCARE COMMERCIAL OPERATIONS FRANCE OU NPPCOF,46.38B,GE
412280737,SNCF RESEAU,52.21Z,GE
412329898,SPIE BELGIUM,42.11Z,
412399792,COOKSON METAUX PRECIEUX,46.48Z,ETI
412824682,FORACO INTERNATIONAL,64.20Z,PME
425127362,FMC AUTOMOBILES,45.11Z,ETI
425920352,ANCIENS ETS G.SCHIEVER ET FILS,70.10Z,ETI
428096796,FIMAS,64.20Z,ETI
428240287,CARREFOUR SUPPLY CHAIN,52.10B,GE
428264915,H GCC,70.10Z,ETI
428268023,DISTRIBUTION CASINO FRANCE,47.11F,GE
440055861,SPIE BUILDING SOLUTIONS,43.21A,GE
440117620,NATRAN,49.50Z,GE
440191336,ALPIQ ENERGIE FRANCE SAS,35.14Z,ETI
440252666,SOCIETE D'ENRICHISSEMENT DU TRICASTIN,20.13A,GE
440283752,CSF,46.39B,GE
440294510,SAGEMCOM BROADBAND SAS,46.52Z,GE
440410637,GROUPE SEB FRANCE,46.49Z,GE
440674364,SWISS INTERNATIONAL AIR LINES SA,51.10Z,PME
440726289,GRANT THORNTON & ASSOCIES,69.20Z,ETI
440849016,SAS VESTAS FRANCE,46.69A,ETI
440919777,PFL,64.20Z,ETI
441133808,NAVAL GROUP,30.11Z,GE
478548449,MFC PROU-INVESTISSEMENT,64.20Z,ETI
478711161,SPIE BATIGNOLLES,70.10Z,GE
478725625,GIFI MAG,47.19B,GE
478921612,KPMG ASSOCIES,66.30Z,GE
479054033,A R FINANCE,66.22Z,
479162695,VALEO ELECTRIFICATION,29.31Z,GE
479463044,NESTLE WATERS MARKETING & DISTRIBUTION,46.34Z,GE
479539447,SODIMAX EXPLOITATION,70.10Z,ETI
479697476,AUTOMOTIVE PARTS AND SERVICES GROUP,70.10Z,ETI
479766842,CAPGEMINI TECHNOLOGY SERVICES,62.02A,GE
479890048,QORVO UK LIMITED,62.01Z,PME
488862368,GSE,71.12B,ETI
489099903,EUROPCAR MOBILITY GROUP,70.10Z,GE
489179713,KUWAIT PETROLEUM AVIATION FRANCE SAS,46.71Z,ETI
489504332,ONET SA,70.10Z,GE
489967687,EDF PRODUCTION ELECTRIQUE INSULAIRE SAS,35.11Z,GE
490122975,BASELL SALES AND MARKETING COMPANY BV,46.12B,GE
501193171,ES ENERGIES STRASBOURG,35.14Z,GE
501428437,AGCO DISTRIBUTION S.A.S.,46.61Z,ETI
501493605,ORANO MINING,46.72Z,GE
501651616,APERAM STAINLESS FRANCE,24.10Z,GE
501706170,GAZELENERGIE SOLUTIONS,35.13Z,GE
517635009,TOTALENERGIES GLNG AUSTRALIA,09.10Z,GE
518495353,COMCAST INTERNATIONAL FRANCE SAS,62.01Z,ETI
532991429,DEMATHIEU & BARD INVESTISSEMENT,64.20Z,
533023362,DEMATHIEU & BARD GROUPE,64.20Z,
533247979,TEREOS FRANCE,10.81Z,GE
533837142,SAINT JUDIST EXPANSION,64.20Z,ETI
533960407,IDEMIA GROUP,70.10Z,GE
786920306,CORA,47.11F,GE
788593218,MGTS CONCEPTION,71.12B,GE
800437410,POMPAC DEVELOPPEMENT,66.30Z,GE
800552572,ICELANDAIR EHF.,51.10Z,PME
800622862,ALTRAD PARTICIPATIONS,64.20Z,GE
801076134,SOUFFLET NEGOCE BY INVIVO,46.21Z,GE
801720533,FINANCIERE TOP MENDEL,82.99Z,ETI
801720541,FINANCIERE DARWIN I,82.99Z,
814811592,NOVARES GROUP,70.22Z,ETI
814868550,FAMILLE C,70.10Z,ETI
815154851,EURIAL LAIT,46.33Z,GE
815232848,POLYTECHNYL,20.16Z,ETI
828311415,ZF INVEST,70.10Z,GE
828487975,ZF BIDCO,66.30Z,GE
842837080,BARCLAYS BANK IRELAND PLC,64.19Z,ETI
843626227,FLUOR CONSULTANT BV,46.90Z,PME
843655549,NETFLIX SERVICES FRANCE S.A.S.,60.20B,ETI
902925288,RENAULT ELECTRICITY,29.10Z,GE
903199800,VIVALTO SANTE 3,66.30Z,GE
920350477,MANUTAN HOLDING,64.20Z,ETI
946051018,SYSTEME U EST,78.30Z,PME
982640146,TOTALENERGIES EP WAHA,09.10Z,GE
7080021,SOCIETE COOPERATIVE D'APPROVISIONNEMENT DE L'OUEST,46.17A,ETI
16250029,APRR,52.21Z,GE
36510865,SOMDIA,46.21Z,GE
54500574,RALLYE,70.10Z,GE
54807284,COMPAGNIE DAHER,70.10Z,GE
55800296,FNAC DARTY,70.10Z,GE
55804124,BOLLORE SE,22.21Z,GE
55812440,BELLON,70.10Z,GE
56501711,BECTON DICKINSON FRANCE,32.50A,GE
56502248,SAMSE,46.73A,GE
56800659,SNEF,43.21A,GE
56801046,COMPAGNIE DE L'ODET,64.20Z,GE
57505539,VICAT,23.51Z,ETI
318919065,MAN TRUCK & BUS FRANCE,45.19Z,GE
319137576,PIERRE FABRE DERMO-COSMETIQUE,20.42Z,GE
319159877,THALES LAS FRANCE SAS,26.51A,GE
319267134,JC DECAUX HOLDING,70.10Z,ETI
319378832,BNP PARIBAS ASSET MANAGEMENT EUROPE,66.30Z,GE
319493953,COOPERATIVE D'APPROVISIONNEMENT NORMANDE,46.17A,ETI
319632790,ARKEMA FRANCE,20.14Z,GE
319851408,SOCIETE VEHICULES AUTOMOBILES BATILLY,29.10Z,GE
320252489,BPIFRANCE,64.92Z,GE
320353576,PEUGEOT CITROEN POISSY SNC,29.10Z,GE
320366446,LAGARDERE SA,70.10Z,GE
329035422,YAMAHA MOTOR MANUFACTURING EUROPE,30.91Z,ETI
329211734,SOCIETE D'EDITION DE CANAL PLUS,60.20A,GE
329338883,COLAS FRANCE,42.11Z,GE
329764625,CLARANOVA S.E.,70.10Z,PME
329892368,DIAC LOCATION,77.11B,GE
329925010,SYNERGIE,78.20Z,ETI
330139403,GOODYEAR FRANCE,45.31Z,ETI
341737062,CNP ASSURANCES,65.11Z,GE
341984839,EMIL FREY HOLDING FRANCE,64.20Z,GE
342021458,CAT.SA,66.22Z,GE
342252400,EXEL,64.20Z,ETI
342376332,ILIAD,82.99Z,GE
342439320,OPEL FRANCE,45.11Z,GE
342547361,YVES SAINT LAURENT,74.10Z,GE
351528229,DELL.,46.51Z,GE
351571757,GL EVENTS,70.10Z,ETI
351572888,SODIAAL UNION,46.33Z,GE
351745724,MEUBLES IKEA FRANCE,47.59A,GE
351808449,EDEN AUTO,70.22Z,ETI
351867692,TEMSYS,77.11B,GE
352014955,CANDIA,10.51A,GE
352050512,SAFRAN NACELLES,30.30Z,GE
352170013,NORTH ATLANTIC CHEMICAL,20.16Z,GE
352256424,ARVAL SERVICE LEASE,77.11B,GE
352383715,AIRBUS HELICOPTERS,30.30Z,GE
352463574,MARTIN BELAYSOUD EXPANSION,70.10Z,ETI
352474274,FAMILLE FAIVELEY PARTICIPATIONS,70.10Z,
383850278,EURO DISNEY VACANCES SAS,79.12Z,GE
383915295,KIA FRANCE,45.11Z,ETI
383960135,CHRONOPOST,53.20Z,GE
383986874,COOPERL ARC ATLANTIQUE,10.11Z,GE
384006029,CAISSE D'EPARGNE ET DE PREVOYANCE DE RHONE ALPES,64.19Z,GE
384169926,ARROW ECS,46.51Z,ETI
384174348,FREELANCE.COM,62.02A,ETI
384500229,FINANSOD,70.22Z,ETI
384560942,LEROY MERLIN FRANCE,47.52B,GE
384711909,SOITEC,26.11Z,ETI
384783239,MARSEILLAN,64.20Z,GE
384846432,DISTRIBUTION LEADER PRICE SNC,46.17A,GE
385006234,PRO A PRO,46.39B,GE
385110234,SOCIETE COOPERATIVE AGRICOLE UNEAL,46.21Z,ETI
385123161,ORTEC EXPANSION,64.20Z,GE
395006398,COUTIER DEVELOPPEMENT,70.10Z,ETI
395030844,SANOFI,70.10Z,GE
397471822,EURO DISNEY ASSOCIES SAS,93.21Z,GE
397479635,ETABLISSEMENTS THEVENIN & DUCROT,64.20Z,ETI
397480930,BOUYGUES TELECOM,61.20Z,GE
397971334,TOSHIBA EUROPE GMBH,46.51Z,PME
398138545,INETUM MODERNISATION SOLUTIONS,62.02A,GE
404494387,LE PARADIS DU FRUIT,56.10C,
404495566,AMARI METAL FRANCE,64.20Z,ETI
419339965,KBC BANK,64.19Z,PME
432766947,FRANCE TELEVISIONS,60.20A,GE
433082476,AGARIK SAS,63.11Z,GE
433085149,MONDELEZ FRANCE BISCUITS PRODUCTION SAS,10.72Z,GE
433466570,VIGIE,70.10Z,
433623550,PFIZER,46.46Z,GE
433744539,ELECTRO DEPOT FRANCE,47.54Z,GE
433900834,BOUYGUES BATIMENT ILE DE FRANCE,41.20B,GE
433927332,TRANSGOURMET OPERATIONS,46.39B,ETI
433934809,VEOLIA CENTRAL & EASTERN EUROPE,64.30Z,GE
444346795,NEXITY,70.10Z,GE
444523567,GROUPE DUVAL,68.32A,ETI
444608442,ENEDIS,35.13Z,GE
444619258,RTE RESEAU DE TRANSPORT D ELECTRICITE,35.12Z,GE
444718563,ARCELORMITTAL ATLANTIQUE ET LORRAINE,24.10Z,
444786511,GRDF,35.22Z,GE
444816078,ENI SPA,82.99Z,ETI
445074685,ARKEMA,70.10Z,GE
479973513,REXEL,64.20Z,GE
480055680,ATOS INVESTISSEMENT 10,62.02A,GE
480107911,SAFRAN ELECTRONICS & DEFENSE,26.51A,GE
480218544,HERE EUROPE B.V.,63.11Z,GE
481043040,EUTELSAT COMMUNICATIONS,70.10Z,ETI
481278240,LENOVO FRANCE SAS,46.51Z,ETI
491807145,WFS GLOBAL HOLDING,70.10Z,ETI
491974861,DERICHEBOURG ENVIRONNEMENT,38.32Z,GE
492042338,FINANCIERE SPIE BATIGNOLLES,64.20Z,
492133947,GROUPE MOBALI-BANDA,70.22Z,
492203815,VARO ENERGY FRANCE SAS,46.71Z,ETI
492273438,NOVARTEX,64.30Z,PME
492791306,TRANSAVIA FRANCE,51.10Z,GE
492851266,FINANCIERE TRUCK (INVESTISSEMENT),64.20Z,ETI
507523801,SNCF GARES & CONNEXIONS,52.21Z,GE
508311214,PURPLE DEVELOPMENT,70.22Z,PME
521477851,TRANSDEV GROUP,52.21Z,GE
521913798,SOCIETE VALMY DEFENSE 38 EN ABREGE SVD 38,46.71Z,GE
522493196,KEYRUS MANAGEMENT,70.22Z,ETI
535323174,PROMAN EXPANSION,70.10Z,GE
